Year Released,Album Length,Artist,Album Name
2020,2995371,Drake,Dark Lane Demo Tapes
2019,4425273,Drake,Care Package
2019,4437727,Drake,So Far Gone
2018,5426391,Drake,Scorpion
2017,4899126,Drake,More Life
2016,4875485,Drake,Views
2015,2435958,Drake,What A Time To Be Alive
2015,4129729,Drake,If You're Reading This It's Too Late
2013,4318651,Drake,Nothing Was The Same (Deluxe)
2013,3568090,Drake,Nothing Was The Same
2011,5005808,Drake,Take Care (Deluxe)
2011,5005794,Drake,Take Care
2010,3666706,Drake,Thank Me Later
2009,4437710,Drake,So Far Gone
